lambda,r
859.9308472,718
860.0703735,739
860.2099609,617
860.3494873,634
860.4890137,773
860.62854,735
860.7680664,761
860.9075317,780
861.0469971,747
861.1865234,712
861.3259888,629
861.4654541,640
861.6048584,570
861.7443237,687
861.883728,724
862.0231323,572
862.1625366,638
862.3019409,721
862.4413452,705
862.5806885,728
862.7200928,708
862.859436,661
862.9987793,580
863.1380615,702
863.2774048,638
863.416687,712
863.5560303,690
863.6953125,542
863.8345947,743
863.9738159,669
864.1130981,616
864.2523193,601
864.3916016,725
864.5308228,711
864.6699829,758
864.8092041,674
864.9484253,648
865.0875854,602
865.2267456,709
865.3659058,677
865.5050659,609
865.6442261,706
865.7833252,917
865.9224243,584
866.0615234,616
866.2006226,606
866.3397217,611
866.4788208,716
866.6178589,700
866.756897,780
866.8959351,819
867.0349731,819
867.1740112,750
867.3130493,842
867.4520264,788
867.5910034,687
867.7299805,671
867.8689575,719
868.0079346,595
868.1468506,708
868.2857666,659
868.4247437,573
868.5635986,575
868.7025146,607
868.8414307,660
868.9802856,629
869.1192017,758
869.2580566,727
869.3969116,615
869.5357056,824
869.6745605,682
869.8133545,767
869.9521484,731
870.0909424,743
870.2297363,834
870.3685303,725
870.5073242,675
870.6460571,809
870.78479,881
870.9235229,535
871.0622559,696
871.2009277,743
871.3396606,836
871.4783325,594
871.6170044,675
871.7556763,836
871.8943481,649
872.03302,730
872.1716309,693
872.3102417,707
872.4488525,754
872.5874634,790
872.7260742,757
872.864624,624
873.0032349,567
873.1417847,673
873.2803345,709
873.4188843,870
873.557373,656
873.6959229,619
873.8344116,780
873.9729004,740
874.1113892,697
874.2498779,606
874.3883057,587
874.5267944,626
874.6652222,652
874.8036499,680
874.9420776,607
875.0805054,621
875.2188721,633
875.3572998,886
875.4956665,768
875.6340332,663
875.7723999,662
875.9107056,646
876.0490723,641
876.1873779,688
876.3256836,717
876.4639893,753
876.6022949,589
876.7405396,766
876.8788452,570
877.0170898,760
877.1553345,666
877.2935791,750
877.4318237,699
877.5700073,683
877.708252,782
877.8464355,703
877.9846191,721
878.1228027,681
878.2609253,677
878.3991089,557
878.5372314,849
878.675354,602
878.8134766,684
878.9515991,674
879.0896606,506
879.2277832,690
879.3658447,579
879.5039063,740
879.6419678,769
879.7800293,767
879.9180298,755
880.0560913,725
880.1940918,656
880.3320923,640
880.4700928,699
880.6080322,693
880.7460327,704
880.8839722,704
881.0219116,762
881.1598511,727
881.2977905,838
881.4356689,728
881.5736084,700
881.7114868,615
881.8493652,749
881.9872437,647
882.125061,816
882.2629395,718
882.4007568,729
882.5385742,702
882.6763916,727
882.814209,692
882.9520264,607
883.0897827,880
883.2276001,543
883.3653564,747
883.5031128,742
