lambda,b
433.4208374,612
433.5846863,809
433.7485046,914
433.912323,735
434.0761414,783
434.2399292,978
434.4037476,814
434.5675354,1057
434.7312927,773
434.8950806,867
435.0588684,911
435.2226257,929
435.3863831,1062
435.5501099,966
435.7138672,807
435.877594,1015
436.0413208,1028
436.2050476,1047
436.3687744,955
436.5324707,987
436.6961975,751
436.8598938,1048
437.0235596,1161
437.1872559,1103
437.3509216,1137
437.5145874,1019
437.6782532,1286
437.8419189,976
438.0055542,1193
438.1691895,1218
438.3328247,1319
438.49646,1125
438.6600952,1166
438.8237,1372
438.9873047,1105
439.1509094,1157
439.3145142,1354
439.4780884,1373
439.6416626,1226
439.8052368,1228
439.968811,1420
440.1323547,1391
440.295929,1320
440.4594727,1407
440.6230164,1386
440.7865295,1456
440.9500732,1361
441.1135864,1534
441.2770996,1589
441.4406128,1529
441.6040955,1702
441.7675781,1548
441.9310608,1467
442.0945435,1616
442.2580261,1564
442.4214783,1683
442.5849304,1672
442.7483826,1659
442.9118347,1774
443.0752869,1904
443.2387085,1779
443.4021301,1886
443.5655518,1833
443.7289429,2093
443.8923645,1976
444.0557556,2067
444.2191467,2261
444.3825073,2272
444.5458984,2370
444.709259,2280
444.8726196,2125
445.0359802,2360
445.1993408,2284
445.3626709,2393
445.526001,2506
445.6893311,2602
445.8526611,2600
446.0159607,2464
446.1792603,2496
446.3425598,2747
446.5058594,2589
446.6691589,2724
446.832428,2828
446.995697,2756
447.1589661,3101
447.3222351,3146
447.4854736,2966
447.6487122,2882
447.8119507,3124
447.9751892,2852
448.1384277,3393
448.3016357,3333
448.4648438,3417
448.6280518,3546
448.7912292,3372
448.9544373,3624
449.1176147,3710
449.2807922,3786
449.4439697,3961
449.6071167,3758
449.7702637,4022
449.9334106,4119
450.0965576,4273
450.2597046,4052
450.422821,4607
450.5859375,4213
450.749054,4677
450.9121704,4574
451.0752563,4750
451.2383728,4923
451.4014587,4730
451.5645142,4974
451.7276001,4747
451.8906555,5305
452.0537109,5145
452.2167664,5395
452.3798218,5565
452.5428467,5813
452.7059021,5844
452.868927,5802
453.0319214,5897
453.1949463,6000
453.3579407,6416
453.5209351,6258
453.6839294,6403
453.8469238,6762
454.0098877,6576
454.1728516,7000
454.3358154,6705
454.4987793,7293
454.6617126,7543
454.824646,7274
454.9875793,7384
455.1505127,7776
455.313446,7968
455.4763489,7835
455.6392517,7743
455.8021545,8236
455.9650574,8044
456.1279297,8332
456.290802,8699
456.4536743,9247
456.6165466,8824
456.7794189,9216
456.9422607,9074
457.1051025,9275
457.2679443,9035
457.4307556,9558
457.5935974,9686
457.7564087,9591
457.91922,9659
458.0820313,10253
458.244812,10331
458.4075928,9999
458.5703735,10581
458.7331543,10427
458.8959351,10830
459.0586853,10203
459.2214355,10815
459.3841858,10748
459.5469055,10719
459.7096558,11067
459.8723755,11287
460.0350952,11155
460.1978149,11364
460.3605042,11187
460.5231934,11337
460.6858826,11735
460.8485718,11567
461.011261,11316
461.1739197,11445
461.3365784,11072
461.4992371,11373
461.6618958,11895
461.8245239,11428
461.9871521,11200
462.1497803,11116
462.3124084,11176
462.4750366,11789
462.6376343,11158
462.8002319,11408
462.9628296,11678
463.1253967,11016
463.2879944,11404
463.4505615,11375
463.6131287,11208
463.7756653,10643
463.9382324,11312
464.100769,10618
464.2633057,10403
464.4258423,10444
464.5883484,10121
464.750885,10122
464.9133911,10175
465.0758972,10377
465.2383728,9838
465.4008789,9668
465.5633545,9861
465.7258301,9555
465.8882751,9424
466.0507507,9417
466.2131958,9346
466.3756409,9228
466.5380859,8943
466.7005005,8982
466.8629456,8852
467.0253601,8733
467.1877441,8596
467.3501587,8263
467.5125427,8335
467.6749573,8070
467.8373108,7968
467.9996948,8176
468.1620789,7707
468.3244324,7765
468.4867859,7607
468.6491394,7284
468.8114624,7392
468.9737854,7587
469.1361084,7420
469.2984314,7393
469.4607544,7264
469.6230469,7184
469.7853394,7049
469.9476318,7260
470.1099243,7034
470.2721863,6844
470.4344788,6852
470.5967407,6630
470.7589722,6634
470.9212341,6523
471.0834656,6234
471.245697,6394
471.4079285,6619
471.5701599,6459
471.7323608,6521
471.8945618,6249
472.0567627,6271
472.2189636,6195
472.381134,6093
472.5433044,6144
472.7054749,6092
472.8676453,6093
473.0297852,6215
473.1919556,6084
473.3540955,5788
473.5162354,5844
473.6783447,5714
473.8404541,5745
474.002594,6044
474.1646729,5544
474.3267822,5658
474.4888611,5583
474.6509705,5484
474.8130493,5464
474.9750977,5272
475.1371765,5401
475.2992249,5235
475.4612732,5582
475.6233215,5212
