lambda,b
858.3948975,705
858.5346069,780
858.6742554,627
858.8139038,592
858.9535522,730
859.0932007,668
859.2328491,546
859.3724365,747
859.512085,712
859.6516724,655
859.7912598,656
859.9308472,773
860.0703735,825
860.2099609,618
860.3494873,659
860.4890137,802
860.62854,764
860.7680664,712
860.9075317,825
861.0469971,703
861.1865234,719
861.3259888,572
861.4654541,642
861.6048584,624
861.7443237,611
861.883728,721
862.0231323,542
862.1625366,639
862.3019409,794
862.4413452,657
862.5806885,732
862.7200928,697
862.859436,679
862.9987793,585
863.1380615,678
863.2774048,730
863.416687,702
863.5560303,715
863.6953125,578
863.8345947,723
863.9738159,635
864.1130981,619
864.2523193,595
864.3916016,677
864.5308228,597
864.6699829,743
864.8092041,787
864.9484253,595
865.0875854,678
865.2267456,628
865.3659058,687
865.5050659,667
865.6442261,679
865.7833252,811
865.9224243,550
866.0615234,701
866.2006226,619
866.3397217,609
866.4788208,727
866.6178589,697
866.756897,788
866.8959351,861
867.0349731,804
867.1740112,777
867.3130493,756
867.4520264,702
867.5910034,714
867.7299805,696
867.8689575,678
868.0079346,570
868.1468506,669
868.2857666,635
868.4247437,636
868.5635986,593
868.7025146,619
868.8414307,636
868.9802856,677
869.1192017,714
869.2580566,728
869.3969116,671
869.5357056,758
869.6745605,690
869.8133545,785
869.9521484,682
870.0909424,689
870.2297363,729
870.3685303,729
870.5073242,618
870.6460571,823
870.78479,856
870.9235229,528
871.0622559,688
871.2009277,825
871.3396606,801
871.4783325,654
871.6170044,648
871.7556763,840
871.8943481,632
872.03302,748
872.1716309,705
872.3102417,820
872.4488525,730
872.5874634,820
872.7260742,686
872.864624,526
873.0032349,496
873.1417847,699
873.2803345,776
873.4188843,851
873.557373,635
873.6959229,590
873.8344116,737
873.9729004,754
874.1113892,595
874.2498779,665
874.3883057,589
874.5267944,722
874.6652222,649
874.8036499,745
874.9420776,566
875.0805054,556
875.2188721,633
875.3572998,740
875.4956665,734
875.6340332,629
875.7723999,594
875.9107056,668
876.0490723,636
876.1873779,617
876.3256836,706
876.4639893,763
876.6022949,600
876.7405396,746
876.8788452,574
877.0170898,625
877.1553345,769
877.2935791,816
877.4318237,719
877.5700073,645
877.708252,764
877.8464355,580
877.9846191,668
878.1228027,729
878.2609253,636
878.3991089,638
878.5372314,862
878.675354,656
878.8134766,670
878.9515991,718
879.0896606,661
879.2277832,735
879.3658447,610
879.5039063,811
879.6419678,745
879.7800293,712
879.9180298,701
880.0560913,689
880.1940918,663
880.3320923,702
880.4700928,778
880.6080322,672
880.7460327,712
880.8839722,679
881.0219116,765
881.1598511,725
881.2977905,784
881.4356689,726
881.5736084,611
881.7114868,584
881.8493652,724
881.9872437,656
882.125061,789
882.2629395,801
882.4007568,744
882.5385742,746
882.6763916,726
882.814209,782
882.9520264,618
883.0897827,756
883.2276001,603
883.3653564,723
883.5031128,663
