lambda;rgb
514.9454346;4966
515.1056519;4848
515.2659302;4800
515.4261475;5002
515.5864258;4968
515.7466431;5145
515.9068604;5030
516.0670776;5046
516.2272949;5325
516.3874512;5040
516.5476685;5124
516.7078247;5067
516.868042;5365
517.0281982;5174
517.1883545;5418
517.3485107;5600
517.508667;5353
517.6687622;5310
517.8289185;5301
517.9890137;5619
518.1491699;5388
518.3092651;5648
518.4693604;5519
518.6294556;5504
518.7895508;5573
518.949585;5640
519.1096802;5564
519.2697754;5645
519.4298096;5800
519.5898438;5886
519.7498779;5700
519.9099121;5858
520.0699463;6030
520.2299805;5918
520.3899536;6037
520.5499878;5850
520.7099609;5921
520.8699951;5893
521.0299683;6035
521.1899414;6064
521.3498535;6245
521.5098267;6246
521.6697998;6042
521.8297119;6237
521.9896851;6172
522.1495972;6440
522.3095093;6477
522.4694214;6599
522.6293335;6496
522.7892456;6456
522.9490967;6592
523.1090088;6658
523.2688599;6489
523.428772;6526
523.588623;6676
523.7484741;6746
523.9083252;6787
524.0681763;6760
524.2279663;6955
524.3878174;6972
524.5476074;7137
524.7073975;7041
524.8672485;6964
525.0270386;6953
525.1868286;7026
525.3465576;7044
525.5063477;7162
525.6661377;7330
525.8258667;7288
525.9855957;7279
526.1453247;7388
526.3050537;7393
526.4647827;7371
526.6245117;7618
526.7842407;7461
526.9439087;7614
527.1036377;7534
527.2633057;7707
527.4229736;7641
527.5826416;7760
527.7423096;7773
527.9019775;7659
528.0616455;7853
528.2212524;7938
528.3809204;7972
528.5405273;7912
528.7001343;7951
528.8597412;7748
529.0193481;7859
529.1789551;8192
529.338562;7976
529.4981689;8389
529.6577148;8002
529.8172607;8273
529.9768066;8212
530.1364136;7906
530.2959595;8140
530.4554443;8477
530.6149902;8428
530.7745361;8250
530.934021;8215
531.0935059;8370
531.2530518;8434
531.4125366;8370
531.5720215;8397
531.7315063;8515
531.8909302;8339
532.050415;8201
532.2098389;8369
532.3693237;8308
532.5287476;8607
532.6881714;8547
532.8475952;8468
533.007019;8374
533.1663818;8578
533.3258057;8649
533.4851685;8489
533.6445923;8364
533.8039551;8609
533.9633179;8637
534.1226807;8422
534.2820435;8546
534.4414063;8398
534.600708;8338
534.7600708;8512
534.9193726;8649
535.0786743;8579
535.2379761;8693
535.3972778;8641
535.5565796;8400
535.7158813;8418
535.8751221;8683
536.0344238;8550
536.1936646;8666
536.3529053;8564
536.512207;8661
536.6714478;8465
536.8306274;8433
536.9898682;8503
537.1491089;8310
537.3082886;8520
537.4674683;8660
537.626709;8374
537.7858887;8679
537.9450684;8507
538.104248;8604
538.2633667;8382
538.4225464;8519
538.581665;8385
538.7408447;8713
538.8999634;8304
539.059082;8359
539.2182007;8483
539.3773193;8486
539.536377;8366
539.6954956;8396
539.8546143;8375
540.0136719;8347
540.1727295;8283
540.3317871;8145
540.4908447;8426
540.6499023;8227
540.80896;8313
540.9679565;8383
541.1270142;8284
541.2860107;8347
541.4450073;8295
541.6040039;8302
541.7630005;8265
541.9219971;8072
542.0809937;7861
542.2399292;8099
542.3989258;8215
542.5578613;8094
542.7167969;8058
542.8757324;7878
543.034668;7849
543.1936035;7775
543.3525391;8001
543.5114136;7637
543.6703491;7703
543.8292236;7646
543.9880981;7725
544.1469727;7668
544.3058472;7688
544.4647217;7417
544.6235962;7675
544.7824097;7386
544.9412842;7480
545.1000977;7454
545.2589111;7726
545.4177246;7455
545.5765381;7363
545.7353516;7382
545.894165;7239
546.0529175;7295
546.211731;7449
546.3704834;7501
546.5292358;7303
546.6879883;7313
546.8467407;7123
547.0054932;7272
547.1641846;7204
547.322937;7103
547.4816284;7136
547.6403809;7027
547.7990723;7114
547.9577637;6736
548.1164551;6827
548.2751465;6918
548.4337769;6949
548.5924683;6413
548.7510986;6892
548.909729;6775
549.0684204;6717
549.2270508;6448
549.3856201;6640
549.5442505;6568
549.7028809;6379
549.8614502;6566
550.0200806;6668
550.1786499;6436
550.3372192;6482
550.4957886;6315
550.6543579;6325
550.8129272;6384
550.9714355;6112
551.1300049;6239
551.2885132;6121
551.4470215;5960
551.6055298;6032
551.7640381;6020
551.9225464;5909
552.0810547;5862
552.239563;6062
552.3980103;5874
552.5564575;5768
552.7149658;5760
552.8734131;5759
553.0318604;5689
553.1902466;5683
553.3486938;5762
553.5071411;5520
553.6655273;5655
553.8239746;5628
553.9823608;5511
554.1407471;5549
554.2991333;5310
554.4575195;5491
554.6158447;5554
554.774231;5417
554.9325562;5200
555.0908813;5319
555.2492676;5313
555.4075928;4981
555.565918;5178
555.7241821;5246
555.8825073;5283
556.0408325;5114
556.1990967;5078
556.3573608;5065
556.515625;4921
556.6738892;5003
556.8321533;4845
556.9904175;4941
557.1486816;4940
557.3068848;4782
557.4651489;4827
557.6233521;4770
557.7815552;4858
557.9397583;4684
558.0979614;4619
558.2561646;4651
558.4143066;4667
558.5725098;4697
558.7306519;4680
558.8887939;4657
559.046936;4461
559.2050781;4555
559.3632202;4394
559.5213623;4488
559.6794434;4416
559.8375854;4518
559.9956665;4371
560.1537476;4381
560.3118896;4336
560.4699097;4344
560.6279907;4171
560.7860718;4207
560.9441528;4190
561.1021729;4214
561.2601929;4104
561.4182129;4035
561.5762329;4209
561.7342529;4117
561.8922729;4195
562.050293;4070
562.208252;4075
562.366272;3914
562.524231;3812
562.6821899;3899
562.8401489;4015
562.9981079;3933
563.1560669;3731
563.3139648;3736
563.4719238;3751
563.6298218;3685
563.7877808;3858
563.9456787;3679
564.1035767;3654
564.2614136;3595
564.4193115;3602
564.5772095;3705
564.7350464;3647
564.8929443;3521
565.0507813;3503
565.2086182;3513
565.3664551;3552
565.524292;3335
565.6820679;3722
565.8399048;3269
565.9976807;3234
566.1555176;3528
566.3132935;3133
566.4710693;3345
566.6288452;3124
566.7866211;3151
566.9443359;3358
567.1021118;3262
567.2598267;3214
567.4175415;3024
567.5753174;3127
567.7330322;3233
567.890686;3013
568.0484009;3115
568.2061157;3024
568.3637695;3067
568.5214844;2986
568.6791382;2930
568.836792;2969
568.9944458;2936
569.1520996;2775
569.3096924;2993
569.4673462;2897
569.625;2950
569.7825928;2840
569.9401855;2911
570.0977783;2720
570.2553711;2762
570.4129639;2563
570.5704956;2774
570.7280884;2645
570.8856201;2742
571.0432129;2653
571.2007446;2651
571.3582764;2605
571.5158081;2536
571.6733398;2377
571.8308105;2542
571.9883423;2509
572.145813;2450
572.3032837;2602
572.4607544;2398
572.6182251;2441
572.7756958;2484
572.9331665;2333
573.0906372;2257
573.2480469;2421
573.4054565;2514
573.5629272;2406
573.7203369;2262
573.8777466;2280
574.0350952;2282
574.1925049;2239
574.3499146;2121
574.5072632;2187
574.6646118;2262
574.8219604;2051
574.9793091;2089
575.1366577;2094
575.2940063;2107
575.451355;2049
575.6086426;2227
575.7659912;1908
575.9232788;2067
576.0805664;2039
576.237854;2058
576.3951416;2139
576.5523682;1792
576.7096558;1961
576.8669434;1767
577.0241699;1887
577.1813965;2291
577.338623;1938
577.4958496;1720
577.6530762;1689
577.8103027;1801
577.9674683;1797
578.1246338;1713
578.2818604;1762
578.4390259;1798
578.5961914;1756
578.7533569;1684
578.9105225;1644
579.067627;1633
579.2247925;1599
579.381897;1802
579.5390015;1600
579.696106;1962
579.8532104;1664
580.0103149;1735
580.1674194;1667
580.3244629;1652
580.4815674;1507
580.6386108;1586
580.7956543;1573
580.9526978;1627
581.1097412;1614
581.2667847;1535
581.4238281;1813
581.5808105;1516
581.737854;1567
581.8948364;1575
582.0518188;1521
582.2088013;1458
582.3657837;1666
582.5227661;1737
582.6796875;1555
582.8366699;1706
582.9935913;1565
583.1505127;1541
583.3074341;1526
583.4643555;1695
583.6212769;1601
583.7781982;1500
583.9350586;1644
584.09198;1509
584.2488403;1565
584.4057007;1572
584.562561;1488
584.7194214;1542
584.8762817;1550
585.0330811;1666
585.1899414;1752
585.3467407;1534
585.50354;1557
585.6604004;1565
585.8171387;1357
585.973938;1556
586.1307373;1481
586.2875366;1628
586.4442749;1464
586.6010132;1570
586.7577515;1496
586.9144897;1482
587.071228;1588
587.2279663;1666
587.3847046;1695
587.5413818;1524
587.6981201;1685
587.8547974;1584
588.0114746;1613
588.1681519;1639
