lambda,g
855.5991211,672
855.7390137,648
855.8789063,600
856.0187378,807
856.1586304,751
856.2984619,632
856.4382935,742
856.578125,774
856.7179565,663
856.8577271,709
856.9975586,570
857.1373291,747
857.2770996,649
857.4168701,771
857.5566406,774
857.6963501,615
857.8361206,661
857.9758301,570
858.1155396,701
858.255249,739
858.3948975,811
858.5346069,834
858.6742554,625
858.8139038,662
858.9535522,747
859.0932007,747
859.2328491,567
859.3724365,716
859.512085,801
859.6516724,693
859.7912598,655
859.9308472,795
860.0703735,836
860.2099609,648
860.3494873,668
860.4890137,797
860.62854,809
860.7680664,758
860.9075317,822
861.0469971,728
861.1865234,790
861.3259888,562
861.4654541,661
861.6048584,667
861.7443237,602
861.883728,733
862.0231323,613
862.1625366,734
862.3019409,753
862.4413452,703
862.5806885,666
862.7200928,650
862.859436,711
862.9987793,650
863.1380615,581
863.2774048,731
863.416687,803
863.5560303,661
863.6953125,585
863.8345947,718
863.9738159,679
864.1130981,677
864.2523193,632
864.3916016,656
864.5308228,753
864.6699829,721
864.8092041,684
864.9484253,616
865.0875854,642
865.2267456,660
865.3659058,640
865.5050659,678
865.6442261,640
865.7833252,907
865.9224243,604
866.0615234,588
866.2006226,635
866.3397217,616
866.4788208,673
866.6178589,708
866.756897,782
866.8959351,853
867.0349731,810
867.1740112,740
867.3130493,882
867.4520264,743
867.5910034,696
867.7299805,629
867.8689575,724
868.0079346,585
868.1468506,695
868.2857666,620
868.4247437,644
868.5635986,608
868.7025146,604
868.8414307,679
868.9802856,650
869.1192017,732
869.2580566,772
869.3969116,692
869.5357056,721
869.6745605,675
869.8133545,746
869.9521484,680
870.0909424,694
870.2297363,842
870.3685303,667
870.5073242,601
870.6460571,840
870.78479,867
870.9235229,583
871.0622559,649
871.2009277,882
871.3396606,812
871.4783325,589
871.6170044,683
871.7556763,784
871.8943481,631
872.03302,818
872.1716309,776
872.3102417,715
872.4488525,782
872.5874634,713
872.7260742,719
872.864624,506
873.0032349,529
873.1417847,673
873.2803345,728
873.4188843,811
873.557373,659
873.6959229,586
873.8344116,784
873.9729004,706
874.1113892,581
874.2498779,621
874.3883057,671
874.5267944,684
874.6652222,649
874.8036499,744
874.9420776,638
875.0805054,645
875.2188721,664
875.3572998,784
875.4956665,624
875.6340332,693
875.7723999,640
875.9107056,620
876.0490723,640
876.1873779,638
876.3256836,782
876.4639893,702
876.6022949,690
876.7405396,734
876.8788452,563
877.0170898,741
877.1553345,755
877.2935791,693
877.4318237,757
877.5700073,633
877.708252,764
877.8464355,647
877.9846191,746
878.1228027,748
878.2609253,760
878.3991089,634
878.5372314,745
878.675354,625
878.8134766,768
878.9515991,704
879.0896606,617
879.2277832,658
879.3658447,586
879.5039063,718
879.6419678,760
879.7800293,804
879.9180298,661
880.0560913,671
880.1940918,629
880.3320923,750
880.4700928,756
880.6080322,646
880.7460327,685
880.8839722,642
881.0219116,779
881.1598511,652
881.2977905,735
881.4356689,720
881.5736084,669
881.7114868,665
881.8493652,706
881.9872437,633
882.125061,828
882.2629395,750
882.4007568,770
882.5385742,695
882.6763916,634
882.814209,738
882.9520264,655
883.0897827,835
883.2276001,601
883.3653564,755
883.5031128,795
