lambda,g
531.8909302,7893
532.050415,8029
532.2098389,8283
532.3693237,8383
532.5287476,8064
532.6881714,8178
532.8475952,8190
533.007019,8023
533.1663818,8023
533.3258057,8448
533.4851685,8073
533.6445923,8255
533.8039551,8277
533.9633179,8253
534.1226807,8310
534.2820435,8466
534.4414063,8237
534.600708,8100
534.7600708,8390
534.9193726,8563
535.0786743,8345
535.2379761,8338
535.3972778,8446
535.5565796,8283
535.7158813,8291
535.8751221,8474
536.0344238,8309
536.1936646,8273
536.3529053,8301
536.512207,8343
536.6714478,8229
536.8306274,8230
536.9898682,8434
537.1491089,8184
537.3082886,8297
537.4674683,8392
537.626709,8353
537.7858887,8359
537.9450684,8392
538.104248,8146
538.2633667,8232
538.4225464,8414
538.581665,8413
538.7408447,8424
538.8999634,8137
539.059082,8326
539.2182007,8205
539.3773193,8240
539.536377,8242
539.6954956,8294
539.8546143,8175
540.0136719,8314
540.1727295,8164
540.3317871,8223
540.4908447,8305
540.6499023,8045
540.80896,8171
540.9679565,8282
541.1270142,8017
541.2860107,8186
541.4450073,8164
541.6040039,8203
541.7630005,7947
541.9219971,7938
542.0809937,7819
542.2399292,8180
542.3989258,8023
542.5578613,7875
542.7167969,8077
542.8757324,7949
543.034668,7960
543.1936035,7899
543.3525391,7751
543.5114136,7708
543.6703491,7658
543.8292236,7552
543.9880981,7903
544.1469727,7469
544.3058472,7664
544.4647217,7275
544.6235962,7548
544.7824097,7541
544.9412842,7470
545.1000977,7426
545.2589111,7429
545.4177246,7378
545.5765381,7288
545.7353516,7239
545.894165,7413
546.0529175,7296
546.211731,7081
546.3704834,7354
546.5292358,7451
546.6879883,7134
546.8467407,7038
547.0054932,7136
547.1641846,7213
547.322937,6987
547.4816284,7107
547.6403809,7099
547.7990723,7232
547.9577637,6732
548.1164551,6773
548.2751465,6901
548.4337769,6845
548.5924683,6722
548.7510986,6888
548.909729,6656
549.0684204,6582
549.2270508,6534
549.3856201,6623
549.5442505,6660
549.7028809,6542
549.8614502,6367
550.0200806,6515
550.1786499,6307
550.3372192,6372
550.4957886,6351
550.6543579,6403
550.8129272,6149
550.9714355,6103
551.1300049,6074
551.2885132,5987
551.4470215,6023
551.6055298,6114
551.7640381,6001
551.9225464,6017
552.0810547,5939
552.239563,5965
552.3980103,5873
552.5564575,5728
552.7149658,5810
552.8734131,5951
553.0318604,5550
553.1902466,5608
553.3486938,5708
553.5071411,5663
553.6655273,5661
553.8239746,5731
